번호,타입,제목,등급,내용
80,반반심볼,번개 - 자연 심볼 추가,S,"번개, 자연 반반 심볼 1개 추가 등장"
81,반반심볼,화염 - 번개 심볼 추가,S,"화염, 번개 반반 심볼 1개 추가 등장"
82,반반심볼,물 - 번개 심볼 추가,S,"물, 번개 반반 심볼 1개 추가 등장"
83,반반심볼,화염-자연 심볼 추가,S,"화염, 자연 반반 심볼 1개 추가 등장"
84,반반심볼,물-자연 심볼 추가,S,"물, 자연 반반 심볼 1개 추가 등장"
85,반반심볼,화염-물 심볼 추가,S,"화염, 물 반반 심볼 1개 추가 등장"
86,이중속성 강화,분신술,SS,반반 심볼이 체크되면 두 속성 모두 데미지를 축적합니다
87,이중속성 강화,번개 폭풍,SS,"번개, 자연 반반 심볼이 5회 체크되면 보호막을 파괴하는 번개 폭풍 발생 (번개, 자연 최종 데미지 합의 50% 추가타)"
88,이중속성 강화,플라즈마,SS,"화염, 번개 반반 심볼이 5회 체크되면 적의 데미지 절감 수치를 감소 시키는 플라즈마 발생 (화염, 번개 최종 데미지 합의 50% 추가타)"
89,이중속성 강화,번개 비,SS,"물, 번개 반반 심볼이 5회 체크되면 적의 랜덤한 스킬 1종을 2턴간 봉인하는 번개 비 발생 (물, 번개 최종 데미지 합의 50% 추가타)"
90,이중속성 강화,화염 폭풍,SS,"화염, 자연 반반 심볼이 5회 체크되면 적의 회복을 방해하는 화염 폭풍 발생 (화염, 자연 최종 데미지 합의 50% 추가타)"
91,이중속성 강화,해일,SS,"물, 자연 반반 심볼이 5회 체크되면 두두에게 걸린 상태이상을 1개 정화하는 해일 발생 (물, 자연 최종 데미지 합의 50% 추가타)"
92,이중속성 강화,화염 비,SS,"화염, 물 반반 심볼이 5회 체크되면 적의 공격력을 감소 시키는 화염 비 발생 (화염, 물 최종 데미지 합의 50% 추가타)"
93,만능심볼,무지개 심볼,S,모든 속성에 매치되는 만능 심볼이 1개 등장
94,만능심볼,무지개 공명,SS,만능 심볼이 체크에 포함되면 해당 체크 데미지 +50%
95,x2룬,룬 각인,B,매 스핀마다 랜덤한 심볼 1개에 x2 룬을 부착
96,x2룬,룬 확산,S,x2룬 부착 개수 +1
97,스탯,공격력 증가 I,B,공격력 +5%
98,스탯,치명타 확률 I,B,치명타 확률 +5%
99,스탯,체력 증가 I,B,최대 HP +10%
100,스탯,치명타 피해 I,B,치명타 피해 +10%
101,스탯,공격력 증가 II,A,공격력 +10%
102,스탯,치명타 확률 II,A,치명타 확률 +10%
103,스탯,체력 증가 II,A,최대 HP +15%
104,스탯,치명타 피해 II,A,치명타 피해 +20%
105,스탯,공격력 증가 III,S,공격력 +15%
106,스탯,치명타 확률 III,S,치명타 확률 +15%
107,스탯,체력 증가 III,S,최대 HP +25%
108,스탯,치명타 피해 III,S,치명타 피해 +30%
109,스탯,피해증가,SS,데미지 증폭 + 10%
110,스탯,피해감소,SS,데미지 절감 + 10%
111,조건부 스탯,위기의 힘,S,HP 30% 이하일 때 공격력 +30%
112,조건부 스탯,필사의 일격,S,HP 50% 이하일 때 치명타 확률 +20%
113,조건부 스탯,불굴,S,HP 30% 이하일 때 받는 피해 -30%
114,조건부 스탯,역전의 의지,SS,HP 30% 이하일 때 공격력+20% 치명타확률+15% 받피-15%
115,조건부 스탯,건강한 육체,S,"HP 70% 이상일 때, 공격력 + 20%"
116,조건부 스탯,만전 상태,S,"HP 100% 일 때, 치명타 확률 + 30%"
117,패턴배율,가로 강화 I,B,가로 체크 데미지 +20%
118,패턴배율,세로 강화 I,B,세로 체크 데미지 +15%
119,패턴배율,대각 강화 I,B,대각 체크 데미지 +20%
120,패턴배율,가로 강화 II,A,가로 체크 데미지 +30%
121,패턴배율,세로 강화 II,A,세로 체크 데미지 +25%
122,패턴배율,대각 강화 II,A,대각 체크 데미지 +30%
123,콤보강화,가속,A,매 7 콤보마다 랜덤한 펫의 쿨타임을 1 감소시킨다
124,콤보강화,광전사,S,콤보 10 이상 달성 시 2턴간 '광전사' 상태. 공격력 +30% 받는 피해 +15%
125,콤보강화,수호결계,S,콤보 10 이상 달성 시 최대체력의 10% 보호막 즉시 획득
126,콤보강화,전장의 지배자,S,콤보 10 이상 달성 시 3턴간 '전장의 지배자' 상태. 적에게 부여하는 모든 상태이상의 지속 턴수 +1
127,콤보강화,광전사 강화,S,광전사의 공격력 증가량이 +10% (30%>40%). 받는 피해 증가는 그대로
128,콤보강화,수호결계강화,S,수호결계로 획득하는 보호막이 20%가 됨
129,콤보강화,전장의 지배자 강화,SS,전장의 지배자 상태에서 적에게 거는 상태이상 지속턴수 +1
130,생존,방패 생성,B,전투 시작 시 방패 1개 획득. 피격 시 방패 1개를 소모하여 받는 피해 20% 감소
131,생존,방패 충전,B,매 3라운드 시작 시 마다 방패 1개 획득 (최대 3개)
132,생존,방패 강화,A,방패의 피해 감소량이 10% 증가 (20%>30%)
133,생존,화염 방패,A,방패가 화염방패가 된다. 방패가 사라질 때 마다 공격력이 전투 종료시까지 10% 증가
134,생존,번개 방패,A,방패가 번개방패가 된다. 방패가 사라질 때 마다 적에게 어지러움 3턴을 부여
135,생존,자연 방패,A,방패가 자연방패가 된다. 방패가 사라질 때 마다 적에게 따가움 3턴을 부여
136,생존,얼음 방패,A,방패가 얼음방패가 된다. 방패가 사라질 떄 마다 적에게 저체온 3턴을 부여
137,생존,방패 대량생산,S,전투 시작 시 방패를 2개 획득한다
138,생존,천사의 날개,SS,탐험 중 1회에 한해 사망시 최대체력의 50%로 부활한다
139,생존,불사,S,치명적인 피격 시 HP 1로 생존
140,생존,진짜 불사,SS,"불사로 살아남게되면, 3턴간 무적 보호막을 획득한다"
141,사제 이벤트,삼각형,S,거대 삼각형 패턴이 추가됩니다. 체크될 때 마다 공격력이 20% 증가
142,사제 이벤트,역삼각형,S,거대 역삼각형 패턴이 추가됩니다. 체크될 때 마다 최대체력 20% 보호막
143,사제 이벤트,십자가,S,십자가 패턴이 추가됩니다. 체크될 때 마다 최대체력 12% 회복
