스킬 목록,,,,,
,,,,,
번호,타입,제목,등급,내용,등장조건
60,상태이상강화,치명상,E,"어지러움의 공격력 감소 15%, 어지러움 지속 +1",
61,상태이상강화,혼미,E,"따가움의 받는 피해 증가량이 +5%, 따가움 지속 +1턴",
62,상태이상강화,영구동토,E,저체온 2스택에 빙결에 걸림,
63,상태이상강화,보호막 녹이기,L,화상이 보호막에 입히는 피해량이 100% 증가,
64,상태이상강화,혼절,L,어지러움 상태인 적인 반격 및 연속공격 확률이 50% 감소,
65,상태이상강화,과다출혈,L,따가움 상태인 적은 회복량이 80% 감소,
66,상태이상강화,빙하기,L,빙결 상태인 적은 모든 피해감면 스킬이 무효가 된다,
67,부적,가로체크부적,R,랜덤 가로줄 1개에 +1 체크부적,
68,부적,세로체크부적,R,랜덤 세로줄 1개에 +1 체크부적,
69,부적,가로회복부적,N,랜덤 가로줄 1개에 회복 부적 (체크 시 최대체력 4% 회복),
70,부적,세로회복부적,N,랜덤 세로줄 1개에 회복 부적 (체크 시 최대체력 6% 회복),
71,부적,체크부적강화,E,모든 체크부적의 체크 수가 +1,
72,부적,회복부적강화,E,모든 회복부적의 회복량이 1.5배,
73,부적,가로강화부적,R,랜덤 가로줄 1개에 데미지 1.5배 강화부적 (해당 라인 데미지 1.5배),
74,부적,세로강화부적,R,랜덤 세로줄 1개에 데미지 1.5배 강화부적 (해당 라인 데미지 1.5배),
75,부적,강화부적강화,E,모든 강화부적의 데미지 증가량이 1.5배 > 2배,
76,x2룬,룬 각인,N,매 스핀마다 랜덤한 심볼 1개에 x2 룬을 부착,
77,x2룬,룬 확산,E,x2룬 부착 개수 +1,
78,스탯,공격력 증가 I,N,공격력 +5%,
79,스탯,공격력 증가 II,N,공격력 +10%,
80,스탯,치명타 확률 I,N,치명타 확률 +5%,
81,스탯,치명타 피해 I,N,치명타 피해 +10%,
82,스탯,최대체력 증가,N,최대 HP +15%,
83,스탯,피해감소 I,R,받는 피해 -5%,
84,스탯,공격력 증가 III,R,공격력 +15%,
85,스탯,치명타 확률 II,R,치명타 확률 +10%,
86,스탯,치명타 피해 II,R,치명타 피해 +20%,
87,스탯,피해감소 II,R,받는 피해 -10%,
88,스탯,위기의 힘,E,HP 30% 이하일 때 공격력 +30%,
89,스탯,필사의 일격,E,HP 50% 이하일 때 치명타 확률 +20%,
90,스탯,불굴,E,HP 30% 이하일 때 받는 피해 -30%,
91,스탯,역전의 의지,L,HP 30% 이하일 때 공격력+20% 치명타확률+15% 받피-15%,
92,패턴배율,가로 강화 I,N,가로 패턴 배율 +20%,
93,패턴배율,세로 강화 I,N,세로 체크 데미지 +15%,
94,패턴배율,대각 강화 I,N,대각 체크 데미지 +20%,
95,패턴배율,가로 강화 II,R,가로 체크 데미지 +30%,
96,패턴배율,세로 강화 II,R,세로 체크 데미지 +25%,
97,패턴배율,대각 강화 II,R,대각 체크 데미지 +30%,
98,패턴 추가,삼각형,E,"거대 삼각형 패턴이 추가됩니다. 이 패턴의 배율은 공격력의 500%이고, 체크될 때 마다 공격력이 20% 증가",
99,패턴 추가,역삼각형,E,"거대 역삼각형 패턴이 추가됩니다. 이 패턴의 배율은 공격력의 500%, 체크될 때 마다 최대체력 20% 보호막",
100,패턴 추가,십자가,E,"십자가 패턴이 추가됩니다. 이 패턴의 배율은 공격력의 400%, 체크될 때 마다 최대체력 12% 회복",
101,콤보강화,가속,R,매 7 콤보마다 랜덤한 펫의 쿨타임을 1 감소시킨다,
102,콤보강화,광전사,E,콤보 10 이상 달성 시 2턴간 '광전사' 상태. 공격력 +30% 받는 피해 +15%,
103,콤보강화,수호결계,E,콤보 10 이상 달성 시 최대체력의 10% 보호막 즉시 획득,
104,콤보강화,전장의 지배자,E,콤보 10 이상 달성 시 3턴간 '전장의 지배자' 상태. 적에게 부여하는 모든 상태이상의 지속 턴수 +1,
105,콤보강화,광전사 강화,E,광전사의 공격력 증가량이 +10% (30%>40%). 받는 피해 증가는 그대로,
106,콤보강화,수호결계강화,E,수호결계로 획득하는 보호막이 20%가 됨,
107,콤보강화,전장의 지배자 강화,L,전장의 지배자 상태에서 상태이상 지속턴수 +1,
108,콤보강화,콤보 마스터,L,모든 필요 콤보 수가 2 감소,
109,생존,방패 생성,N,전투 시작 시 방패 1개 획득. 피격 시 방패 1개를 소모하여 받는 피해 20% 감소,
110,생존,방패 충전,N,매 3라운드 시작 시 마다 방패 1개 획득 (최대 3개),
111,생존,방패 강화,R,방패의 피해 감소량이 10% 증가 (20%>30%),
112,생존,화염 방패,R,방패가 화염방패가 된다. 방패가 사라질 때 마다 공격력이 전투 종료시까지 10% 증가,
113,생존,번개 방패,R,방패가 번개방패가 된다. 방패가 사라질 때 마다 적에게 어지러움 3턴을 부여,
114,생존,자연 방패,R,방패가 자연방패가 된다. 방패가 사라질 때 마다 적에게 따가움 3턴을 부여,
115,생존,얼음 방패,R,방패가 얼음방패가 된다. 방패가 사라질 떄 마다 적에게 저체온 3턴을 부여,
116,생존,방패 대량생산,E,전투 시작 시 방패를 2개 획득한다,
117,생존,천사의 날개,L,탐험 중 1회에 한해 사망시 최대체력의 50%로 부활한다,
118,생존,불사,E,치명적인 피격 시 HP 1로 생존,
119,생존,진짜 불사,L,"불사로 살아남게되면, 3턴간 무적 보호막을 획득한다",
120,생존,재생,N,매 라운드 시작 시 최대체력의 2% 회복,
121,생존,강인한 재생,R,재생의 회복량이 2% 증가 (2%>4%),
122,생존,위기의 재생,E,HP 30% 이하일 때 재생의 회복량이 3배,
123,속성간 시너지,플라즈마,R,"화염과 번개 모두로 공격을 하면 데미지가 합쳐져 거대한 플라즈마로 공격 (화상, 미니번개의 데미지도 이 합산 데미지를 기반으로 함)",
124,속성간 시너지,플라즈마 강화,E,플라즈마는 치명율과 치명피해가 30% 증가,
125,속성간 시너지,번개 돌풍,R,번개와 자연 모두로 공격을 하면 데미지가 합쳐져 거대한 번개 돌풍으로 공격 ,
126,속성간 시너지,번개돌풍 강화,E,번개 돌풍은 50% 확률로 적의 턴수를 +1,
127,속성간 시너지,뇌전,R,번개와 물 모두로 공격을 하면 데미지가 합쳐져 거대한 뇌전으로 공격,
128,속성간 시너지,뇌전 강화,E,뇌전은 50% 확률로 1번 더 공격 (최대 2번),
129,속성간 시너지,정화의 불길,R,자연과 화염 모두로 공격을 하면 데미지가 합쳐져 거대한 정화의 불길로 공격,
130,속성간 시너지,정화의 불길 강화,E,정화의 불길은 나에게 걸린 상태이상을 1개 해제,
131,속성간 시너지,해일,R,자연과 물 모두로 공격을 하면 데미지가 합쳐져 거대한 해일로 공격,
132,속성간 시너지,해일 강화,E,해일로 공격 할 경우 적에게 걸린 모든 이로운 효과를 제거,
133,속성간 시너지,증기 돌풍,R,화염과 물 모두로 공격을 하면 데미지가 합쳐져 거대한 증기 돌풍으로 공격,
134,속성간 시너지,증기 돌풍 강화,E,증기 돌풍은 적의 보호막을 즉시 녹이고 공격한다,
