번호,타입,제목,등급,내용,등장조건,최대보유횟수
22,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
23,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
24,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
25,속성변환,이중변환 마스터,L,이중변환 심볼이 모두 반반심볼로 등장한다,이중변환 중 아무거나,1
26,속성 특수심볼,불씨,R,화염 심볼 중 1개가 불씨로 등장. 체크 시 화상 2턴 (해당 턴 화염 데미지의 10%),화염 지배 혹은 이중변환에 포함된,1
27,속성 특수심볼,낙뢰,R,번개 심볼 중 1개가 낙뢰로 등장. 체크 시 미니번개가 생성되었다가 추가공격 (해당 턴 번개 데미지의 10%),번개 지배,1
28,속성 특수심볼,가시,R,자연 심볼 중 1개가 가시로 등장. 체크 시 따가움 2턴 (1스택당 받는 피해량 10% 증가),자연 지배,1
29,속성 특수심볼,얼음,R,물 심볼 중 1개가 얼음으로 등장. 체크 시 저체온 2턴 (저체온 3스택이 되면 빙결 1턴에 걸림),물 지배,1
30,속성 특수심볼,불씨 II,E,불씨 1개 추가 등장,불씨,1
31,속성 특수심볼,낙뢰 II,E,낙뢰 1개 추가 등장,낙뢰,1
32,속성 특수심볼,가시 II,E,가시 1개 추가 등장,가시,1
33,속성 특수심볼,얼음 II,E,얼음 1개 추가 등장,얼음,1
34,특수심볼강화,특수심볼 강화,L,"불씨,낙뢰,가시,얼음 심볼 중 1개에 x2 룬이 부착되어 등장한다",아무 특수심볼,1
35,속성 특수심볼,파워,R,화염 심볼 중 1개가 파워 심볼로 등장. 파워 심볼 체크시 마다 공격력이 5% 증가 (전투 종료 시 초기화),화염 지배,1
36,속성 특수심볼,천둥,R,번개 심볼 중 1개가 천둥 심볼로 등장. 천둥 심볼 체크시 마다 50% 확률로 랜덤한 심볼에 x2 룬을 부착,번개 지배,1
37,속성 특수심볼,회복,R,자연 심볼 중 1개가 회복 심볼로 등장. 회복 심볼 체크시 마다 최대체력의 5% 회복,자연 지배,1
38,속성 특수심볼,보호,R,물 심볼 중 1개가 보호 심볼로 등장. 보호 심볼 체크시 마다 최대체력의 6% 보호막 획득,물 지배,1
39,속성 특수심볼,파워강화,E,파워 심볼의 증가하는 공격력이 7% 로 증가,파워,1
40,속성 특수심볼,천둥강화,E,천둥 심볼의 발동 확률이 20% 증가 (50%>70%),천둥,1
41,속성 특수심볼,회복강화,E,회복 심볼의 회복량이 7% 로 증가,회복,1
42,속성 특수심볼,보호강화,E,물 심볼의 보호막 크기가 8%로 증가,보호,1
43,속성 강화,화상,E,화염 속성 공격 시 화상 2턴 부여,불씨,1
44,속성 강화,미니번개,E,번개 속성 공격 시 미니번개 1개 추가,낙뢰,1
45,속성 강화,따가움,E,자연 속성 공격 시 따가움 3턴,가시,1
46,속성 강화,저체온,E,물 속성 공격 시 저체온 3턴,얼음,1
47,반반심볼,화염-물 심볼,R,화염과 물 모두에 매치되는 반반심볼이 등장,해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
48,반반심볼,화염-번개 심볼,R,화염과 번개 모두에 매치되는 반반심볼이 등장,해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
49,반반심볼,화염-자연 심볼,R,화염과 자연 모두에 매치되는 반반심볼이 등장,해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
50,반반심볼,물-번개 심볼,R,물과 번개 모두에 매치되는 반반심볼이 등장,해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
51,반반심볼,물-자연 심볼,R,물과 자연 모두에 매치되는 반반심볼이 등장,해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
52,반반심볼,번개-자연 심볼,R,번개와 자연 모두에 매치되는 반반심볼이 등장,해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
53,반반심볼,무지개 심볼,L,모든 속성에 매치되는 만능 심볼이 1개 등장,,1
54,반반심볼,무지개 공명,L,만능 심볼이 체크에 포함되면 해당 체크 데미지 +50%,,1
55,상태이상강화,불씨강화,R,화상 피해량 +30%,불씨,1
56,상태이상강화,낙뢰강화,R,미니번개가 어지러움(공격력10% 감소 디버프) 2턴을 추가한다,낙뢰,1
57,상태이상강화,가시강화,R,따가움의 받는 피해 증가량이 5% 증가 (10%>15%),가시,1
58,상태이상강화,얼음강화,R,빙결의 지속 턴수 +1,얼음,1
59,상태이상강화,업화,E,화상 피해량 +50%. 화상 지속 +1턴,불씨,1
60,상태이상강화,치명상,E,"어지러움의 공격력 감소 15%, 어지러움 지속 +1",낙뢰,1
61,상태이상강화,혼미,E,"따가움의 받는 피해 증가량이 +5%, 따가움 지속 +1턴",가시,1
62,상태이상강화,영구동토,E,저체온 2스택에 빙결에 걸림,얼음,1
63,상태이상강화,보호막 녹이기,L,화상이 보호막에 입히는 피해량이 100% 증가,불씨,1
64,상태이상강화,혼절,L,어지러움 상태인 적인 반격 및 연속공격 확률이 50% 감소,낙뢰,1
65,상태이상강화,과다출혈,L,따가움 상태인 적은 회복량이 80% 감소,가시,1
66,상태이상강화,빙하기,L,빙결 상태인 적은 모든 피해감면 스킬이 무효가 된다,얼음,1
67,부적,가로체크부적,R,랜덤 가로줄 1개에 +1 체크부적,,1
68,부적,세로체크부적,R,랜덤 세로줄 1개에 +1 체크부적,,1
69,부적,가로회복부적,N,랜덤 가로줄 1개에 회복 부적 (체크 시 최대체력 4% 회복),,1
70,부적,세로회복부적,N,랜덤 세로줄 1개에 회복 부적 (체크 시 최대체력 6% 회복),,1
71,부적,체크부적강화,E,모든 체크부적의 체크 수가 +1,체크부적 중 1개,1
72,부적,회복부적강화,E,모든 회복부적의 회복량이 1.5배,,1
73,부적,가로강화부적,R,랜덤 가로줄 1개에 데미지 1.5배 강화부적 (해당 라인 데미지 1.5배),,1
74,부적,세로강화부적,R,랜덤 세로줄 1개에 데미지 1.5배 강화부적 (해당 라인 데미지 1.5배),,1
75,부적,강화부적강화,E,모든 강화부적의 데미지 증가량이 1.5배 > 2배,,1
76,x2룬,룬 각인,N,매 스핀마다 랜덤한 심볼 1개에 x2 룬을 부착,,1
77,x2룬,룬 확산,E,x2룬 부착 개수 +1,룬 각인,1
78,스탯,공격력 증가 I,N,공격력 +5%,,2
79,스탯,공격력 증가 II,N,공격력 +10%,,2
80,스탯,치명타 확률 I,N,치명타 확률 +5%,,2
81,스탯,치명타 피해 I,N,치명타 피해 +10%,,2
82,스탯,최대체력 증가,N,최대 HP +15%,,2
83,스탯,피해감소 I,R,받는 피해 -5%,,2
84,스탯,공격력 증가 III,R,공격력 +15%,,2
85,스탯,치명타 확률 II,R,치명타 확률 +10%,,2
86,스탯,치명타 피해 II,R,치명타 피해 +20%,,2
87,스탯,피해감소 II,R,받는 피해 -10%,,2
88,스탯,위기의 힘,E,HP 30% 이하일 때 공격력 +30%,,2
89,스탯,필사의 일격,E,HP 50% 이하일 때 치명타 확률 +20%,,2
90,스탯,불굴,E,HP 30% 이하일 때 받는 피해 -30%,,2
91,스탯,역전의 의지,L,HP 30% 이하일 때 공격력+20% 치명타확률+15% 받피-15%,,2
92,패턴배율,가로 강화 I,N,가로 패턴 배율 +20%,,2
93,패턴배율,세로 강화 I,N,세로 체크 데미지 +15%,,2
94,패턴배율,대각 강화 I,N,대각 체크 데미지 +20%,,2
95,패턴배율,가로 강화 II,R,가로 체크 데미지 +30%,,2
96,패턴배율,세로 강화 II,R,세로 체크 데미지 +25%,,2
97,패턴배율,대각 강화 II,R,대각 체크 데미지 +30%,,2
98,패턴 추가,삼각형,E,"거대 삼각형 패턴이 추가됩니다. 이 패턴의 배율은 공격력의 500%이고, 체크될 때 마다 공격력이 20% 증가",,1
99,패턴 추가,역삼각형,E,"거대 역삼각형 패턴이 추가됩니다. 이 패턴의 배율은 공격력의 500%, 체크될 때 마다 최대체력 20% 보호막",,1
100,패턴 추가,십자가,E,"십자가 패턴이 추가됩니다. 이 패턴의 배율은 공격력의 400%, 체크될 때 마다 최대체력 12% 회복",,1
101,콤보강화,가속,R,매 7 콤보마다 랜덤한 펫의 쿨타임을 1 감소시킨다,,1
102,콤보강화,광전사,R,콤보 10 이상 달성 시 2턴간 '광전사' 상태. 공격력 +30% 받는 피해 +15%,,1
103,콤보강화,수호결계,R,콤보 10 이상 달성 시 최대체력의 10% 보호막 즉시 획득,,1
104,콤보강화,전장의 지배자,R,콤보 10 이상 달성 시 3턴간 '전장의 지배자' 상태. 적에게 부여하는 모든 상태이상의 지속 턴수 +1,,1
105,콤보강화,광전사 강화,E,광전사의 공격력 증가량이 +10% (30%>40%). 받는 피해 증가는 그대로,광전사,1
106,콤보강화,수호결계강화,E,수호결계로 획득하는 보호막이 20%가 됨,수호결계,1
107,콤보강화,전장의 지배자 강화,L,전장의 지배자 상태에서 상태이상 지속턴수 +1,전장의 지배자,1
108,콤보강화,콤보 마스터,L,모든 필요 콤보 수가 2 감소,콤보 스킬 아무거나 1종,1
109,생존,방패 생성,N,전투 시작 시 방패 1개 획득. 피격 시 방패 1개를 소모하여 받는 피해 20% 감소,,1
110,생존,방패 충전,N,매 3라운드 시작 시 마다 방패 1개 획득 (최대 3개),방패 생성,1
111,생존,방패 강화,R,방패의 피해 감소량이 10% 증가 (20%>30%),방패 생성,1
112,생존,화염 방패,R,방패가 화염방패가 된다. 방패가 사라질 때 마다 공격력이 전투 종료시까지 10% 증가,"방패 생성, 속성방패 1종만 획득 가능",1
113,생존,번개 방패,R,방패가 번개방패가 된다. 방패가 사라질 때 마다 적에게 어지러움 3턴을 부여,"방패 생성, 속성방패 1종만 획득 가능",1
114,생존,자연 방패,R,방패가 자연방패가 된다. 방패가 사라질 때 마다 적에게 따가움 3턴을 부여,"방패 생성, 속성방패 1종만 획득 가능",1
115,생존,얼음 방패,R,방패가 얼음방패가 된다. 방패가 사라질 떄 마다 적에게 저체온 3턴을 부여,"방패 생성, 속성방패 1종만 획득 가능",1
116,생존,방패 대량생산,E,전투 시작 시 방패를 2개 획득한다,"방패 생성, 속성방패 1종만 획득 가능",1
117,생존,천사의 날개,L,탐험 중 1회에 한해 사망시 최대체력의 50%로 부활한다,,1
118,생존,불사,E,치명적인 피격 시 HP 1로 생존,,1
119,생존,진짜 불사,L,"불사로 살아남게되면, 3턴간 무적 보호막을 획득한다",,1
120,생존,재생,N,매 라운드 시작 시 최대체력의 2% 회복,,1
121,생존,강인한 재생,R,재생의 회복량이 2% 증가 (2%>4%),,1
122,생존,위기의 재생,E,HP 30% 이하일 때 재생의 회복량이 3배,,1
