ID,이름,등급,공격력,체력,쿨타임,액티브,패시브1,패시브2,패시브3,패시브4
4002,블루혼,S,15%,15%,8,적을 2턴간 기절 시키며 체력의 25% 보호막 제공,"두두가 보호막 상태일 때, 데미지 절감 + 10%",야수의 함성 보호막 효과 25% -> 35%,보호막이 제거되었을 때 쿨타임 1 감소,
4003,듄 그리폰,S,15%,15%,7,4턴간 랜덤 세로 열 1개에 +2 부적을 부여합니다,세로 패턴 3회 체크 시마다 적에게 화상(2턴)을 부여합니다,"턴 시작 시 적에게 걸린 화상이 4개 이상이라면, 쿨타임 1 추가 감소",술법 : 화염의 부적 부착 개수 + 1,
4004,가시 망이,S,15%,15%,7,"4턴간 받는 피해가 25% 감소하고, 피격 시 적 출혈(2턴)",턴 시작 시 출혈 상태 적이 있으면 체력 5% 회복,피격 시 출혈 부여 개수 1 -> 2개,두두가 피격 될 때 마다 쿨타임이 1 감소합니다 (턴당 1회),
4005,마녀의 조형물,S,15%,15%,6,2턴간 모든 속성으로 취급되는 만능 심볼 2개 등장,"만능 심볼 체크마다 회복 OA 보호막 부여
(5% 회복, 5% 보호막)",만능 심볼 체크 시 2턴간 상태이상 면역 효과,혼돈의 기운으로 등장하는 만능 심볼 + 1,
4006,눈릴라,S,15%,15%,7,"3턴간 4콤보마다 공격력 200%로 공격하며, 공격에 낮은 확률로 빙결 효과 부여","커다란 얼음 주먹으로 빙결 부여 시, 쿨타임 1턴 감소",커다란 얼음 주먹의 공격력 200% -> 300%,커다란 얼음 주먹의 필요 콤보 수 - 2,
4007,도살자,S,15%,15%,7,3턴간 두두의 치명타 확률 100%,치명타 발생마다 공격력 500% 추가 공격 (턴 1회),파괴 본능에 치명타 데미지 + 50% 효과 추가,"치명타로 적 처치 시, 쿨타임 1 감소",
4008,고대 거북,S,15%,15%,7,3턴간 랜덤 가로열 1개에 +2 부적을 부여합니다,가로 패턴 3회 체크 시마다 두두에게 최대체력의 8% 보호막을 부여합니다,술법 : 보호 부적 체크마다 최대 체력 5% 보호막 부여,"보호막이 있는 채로 승리 시, 쿨타임 1 감소",
5001,리프 버드,SS,25%,25%,7,4턴간 매 턴 체력 10% 회복 및 10% 보호막 제공,"두두의 체력이 50% 미만일 때 발동 시 회복의 둥지 효과 2배
(10% -> 20%)",쿨타임 1 감소,회복의 둥지 유지 시간 + 1 턴,회복의 둥지 유지동안 출혈 면역
5002,대나무 담비,SS,25%,25%,7,체력 30%를 회복하고 2턴간 두두 및 슬롯의 부정적 효과 면역,면역 상태에서 시도된 상태이상 적에게 반사,"두두 피격 시 일정 확률로 펫 반격
(공격력 300% 로 반격)",만병통치약 회복 효과 30% -> 40%로 증가,만병통치약의 면역 효과 2턴 -> 3턴
5003,아라크네,SS,25%,25%,7,3턴간 모든 속성으로 취급되는 만능 심볼 3개 등장,만능 심볼 체크마다 출혈 2개 부여,만능 심볼 체크마다 일정 확률로 적 데미지 절감 감소,날카로운 거미줄로 인한 만능 심볼 등장 수 + 1,"전투 승리 시, 남은 날카로운 거미줄 턴 수 만큼 쿨타임 감소"
5004,데저트 클로,SS,25%,25%,6,"4턴간 3콤보마다 공격력 300%로 공격하며, 공격에 화상 부여","적의 체력이 낮을수록 화염 돌진 공격력 상승
(300% -> 최대 450%)",화염 돌진에 부여되는 화상 + 2,화염 돌진 버프 유지 시간동안 두두 화상 면역,화염 돌진 버프가 있을 때 적 처치 시 쿨타임 초기화
5005,깨달은 자,SS,25%,25%,7,2턴간 두두의 회피율 100%,"두두가 회피를 할 때마다 눈보라 시전
(눈보라 : 적에게 400% 데미지, 일정 확률로 적 2턴 빙결)",두두가 피격마다 일정 확률로 쿨타임 1 감소,깨달음 버프 턴 수 + 1,"눈보라가 눈사태로 변경
(눈사태 : 적에게 600% 데미지, 확정적으로 적 2턴 빙결)"
5006,타락의 마녀,SS,25%,25%,8,"적을 3턴간 기절시키고, 3턴간 슬롯 결과 2배",적이 기절에 걸리지 않았을 때 슬롯 결과 2배 -> 3배,"적에게 걸린 상태이상 수에 비례하여 두두 공격력 상승
(상태이상 1개당 공격력 5%)","공격 실패 시, 슬롯 전체 리롤 (턴 1회)","혼돈의 조화 버프 상태에서 잭팟 발생 시 분해 광선 시전
(분해 광선 : 공격력 800% 데미지)"
5007,신전 골렘,SS,25%,25%,6,3턴간 모든 속성으로 취급되는 만능 심볼 3개 등장,만능 심볼 체크마다 공격력 200% 추가 공격,"만능 심볼 체크마다 아래의 효과 중 1개 획득
(8% 회복, 8% 보호막, 공격력 16%)","만능 심볼이 체크되지 않았을 때, 골렘의 심장 버프 턴 수 + 1",만능 심볼이 5회 이상 체크될 때 쿨타임 2 감소
5008,바엘로네,SS,25%,25%,8,"4턴간 랜덤 세로 열 2개, 랜덤 가로열 1개에 + 2 부적 부여",7콤보마다 체력 7% 회복,7콤보마다 보호막 7% 획득,술법 : 전설의 부적 부착 개수 + 1,"콤보 20 이상일 때 고래 신의 분노 발동
(고래 신의 분노 : 최대 체력의 300% 데미지)"
