ID,이름,등급,공격력,체력,쿨타임,컨셉,액티브,패시브1 (B:강화1 / A:강화1 / S:최초 / SS:최초),패시브2 (A:강화2 / S:강화1 / SS:최초),패시브3 (S:강화2 / SS:강화1),패시브4 (SS:강화2),SS 제작 재료
4002,블루혼,S,15%,15%,7,조커빙결의 사냥꾼,2턴간 조커 심볼 2개 등장,조커 체크 시 적에게 저체온 1스택 부여,조커 2회 이상 체크된 턴에 [액티브] 쿨타임 1 감소,적이 빙결되면 다음 [액티브] 사용 시 조커 +1개 추가,,
4003,듄 그리폰,S,15%,15%,7,폭풍의 날개,2턴간 두두 공격력 20% + 크리 데미지 30% 증가,크리 발생 시 [액티브] 쿨타임 1 감소(턴당 1회),크리 2회 이상 발생한 턴에 다음 턴 크리 확률 +15%,크리 3회 이상 발생한 턴에 [액티브] 지속턴 +1,,
4004,가시 망이,S,15%,15%,7,가시 갑옷의 수호자,적에게 어지러움 3스택 부여(3턴) + 두두에게 방패 1개,적 공격 빗나감 시 [액티브] 쿨타임 1 감소,방패 소모 시 적에게 어지러움 1스택 추가 부여,어지러움 5스택 이상이면 적 공격 빗나감 시 쿨타임 추가 1 감소,,
4005,마녀의 조형물,S,15%,15%,6,완전한 정화의 그릇,두두 모든 상태이상 해제 + 3턴간 매 턴 최대체력 8% 재생,해제된 상태이상 1개당 두두에게 최대체력 5% 보호막,재생 중 두두 피격 시 재생 지속턴 +1,두두 체력 40% 이하이면 [액티브] 쿨타임 2 감소,,
4006,눈릴라,S,15%,15%,7,얼음 요새,두두에게 방패 2개 부여 + 2턴간 받는 피해 15% 감소,방패 소모 시 적에게 저체온 1스택 부여,방패 2개 이상 소모된 전투에서 [액티브] 사용 시 방패 +1개 추가,방패 소모로 적이 빙결되면 [액티브] 쿨타임 2 감소,,
4007,도살자,S,15%,15%,6,분노의 화신,두두에게 3턴간 분노 상태 (매 스핀 분노 1스택 + 피격 시 추가 1스택),턴 시작 시 분노 전부 소모 → 스택당 공격력 8%(해당 턴),분노 3스택 이상 소모 시 크리 확률 15%(해당 턴),분노 4스택 이상 소모 시 다음 스핀에 x2룬 1개 부여,,
4008,고대 거북,S,15%,15%,7,두 속성의 현자,3턴간 반반심볼 2개 등장 + 나머지 2속성 확률 30% 감소,반반심볼 체크 시 [액티브] 쿨타임 1 감소(턴당 1회),반반심볼 3회 이상 체크된 턴에 해당 2속성 데미지 15%(해당 턴),[액티브] 사용 시 불씨 또는 가시 특수심볼 1개 추가 등장(해당 2속성 중 택1),,
,,,,,,,,,,,,,
SS 등급 (8종) — 전설급. 전투 규칙이 바뀜,,,,,,,,,,,
5001,리프 버드,SS,25%,25%,7,이중 스핀의 전설,"3턴간 매 스핀 후 추억장식 적용 전에 추가 스핀 1회 발생. 두 스핀의 매칭이 합산됨",전투 시작 시 2턴간 가로+세로 각 1줄에 +2 부적,10콤보 이상이면 [액티브] 쿨타임 1 감소,추가 스핀 시 랜덤 심볼 1개에 x2룬 부여,5라운드 이후 [액티브] 지속턴 +1,꽃담비(S++) + 고대 거북(S++)
5002,대나무 담비,SS,25%,25%,7,심볼 홀드의 달인,"3턴간 매 스핀 후 체크된 심볼은 고정되고 나머지만 다시 스핀됨",홀드된 심볼이 다음 스핀에서도 체크되면 해당 체크 데미지 30% 증가,홀드 심볼 3개 이상이면 [액티브] 쿨타임 1 감소,홀드 시 고정 심볼 중 1개에 x2룬 부여,5라운드 이후 체크되지 않은 심볼 1개도 추가 고정,블루혼(S++) + 마녀의 조형물(S++)
5003,아라크네,SS,25%,25%,7,그물망의 지배자,"2턴간 거미줄 심볼 2개가 등장. 거미줄은 모든 속성에 매치되는 만능 심볼. 체크 시 인접 심볼 1개를 연쇄 변환하여 추가 매칭 발생",거미줄로 변환된 심볼이 체크되면 [액티브] 쿨타임 1 감소(턴당 1회),거미줄 체크로 3개 이상 연쇄 매칭 발생 시 [액티브] 지속턴 +1,5라운드 이후 거미줄 심볼 +1개 추가,연쇄 매칭 2회 이상 발생한 턴에 두두 공격력 20%(해당 턴),듄 그리폰(S++) + 눈릴라(S++)
5004,데저트 클로,SS,25%,25%,7,사막의 증폭자,"3턴간 추억장식이 50% 확률로 2회 발동",추억장식 2회 발동 시 [액티브] 쿨타임 1 감소(턴당 1회),5콤보 달성 시 해당 턴 추억장식 2회 발동 확률 +10%,5라운드 이후 [액티브] 지속턴 +1,한 턴에 추억장식 3회 이상 2회 발동 시 다음 턴 2회 발동 확정,꽃담비(S++) + 도살자(S++)
5005,깨달은 자,SS,25%,25%,7,깨달음의 경지,"두두 모든 상태이상 해제 + 최대체력 50% 회복 + 2턴간 모든 상태이상 면역",해제된 상태이상 1개당 두두에게 최대체력 8% 보호막,두두 체력 40% 이하이면 [액티브] 쿨타임 2 감소,면역 중 적이 상태이상 시도 시 적에게 어지러움 1스택 반사,[액티브] 사용 시 두두에게 방패 2개 부여,마녀의 조형물(S++) + 눈릴라(S++)
5006,타락의 마녀,SS,25%,25%,7,저주의 가시방패,"두두에게 3턴간 저주의 가시 상태 부여. 피격될 때마다 방패 1개 자동 생성 + 적에게 어지러움 2스택 부여",방패 소모 시 적에게 저체온 1스택 + 두두 공격력 8%(해당 턴),적 공격 빗나감 시 [액티브] 쿨타임 1 감소,저주의 가시 중 방패가 3개 이상 축적되면 적에게 어지러움 3스택 추가 폭발,적 공격 빗나감 시 방패 1개 추가 생성,도살자(S++) + 가시 망이(S++)
5007,신전 골렘,SS,25%,25%,6,고대의 혹한,"적에게 저체온 4스택 부여 + 2턴간 적이 받는 피해 20% 증가",적이 빙결 시 [액티브] 쿨타임 2 감소 + 받는 피해 증가 효과 1턴 연장,적이 빙결 상태이면 두두에게 최대체력 8% 보호막 부여,적이 빙결에서 해제될 때 자동으로 저체온 2스택 재부여,적이 빙결 상태일 때 적에게 걸린 화상/출혈의 지속턴 +1,블루혼(S++) + 가시 망이(S++)
5008,바엘로네,SS,25%,25%,7,속성 융합의 고래,"3턴간 반반심볼 3개 등장. 반반심볼 체크 시 두 속성 모두에 동일한 데미지 축적",반반심볼 체크 시 30% 확률로 [액티브] 쿨타임 1 감소,반반심볼 3회 이상 체크된 턴에 두두 공격력 15%(해당 턴),5라운드 이후 [액티브] 반반심볼 +1개 추가,반반심볼 5회 이상 체크 시 다음 [액티브] 사용 시 반반심볼 +1개 추가,고대 거북(S++) + 듄 그리폰(S++)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SS 제작 조합표,,,,,,,,,,,
SS 펫,재료1,재료2,조합 컨셉,,,,,,,,
리프 버드,꽃담비(S++),고대 거북(S++),부적+반반 → 연쇄 스핀 (슬롯 극대화),,,,,,,,
대나무 담비,블루혼(S++),마녀의 조형물(S++),조커+정화 → 심볼 홀드 (매칭 보존),,,,,,,,
아라크네,듄 그리폰(S++),눈릴라(S++),크리+방패 → 거미줄 (연쇄 변환),,,,,,,,
데저트 클로,꽃담비(S++),도살자(S++),부적+분노 → 추억장식 증폭 (곱배율 폭발),,,,,,,,
깨달은 자,마녀의 조형물(S++),눈릴라(S++),정화+방패 → 완전 면역 (극생존),,,,,,,,
타락의 마녀,도살자(S++),가시 망이(S++),분노+가시 → 저주의 가시방패 (맞을수록 역전),,,,,,,,
신전 골렘,블루혼(S++),가시 망이(S++),조커빙결+CC → 고대의 혹한 (빙결 마스터),,,,,,,,
바엘로네,고대 거북(S++),듄 그리폰(S++),반반+크리 → 속성 융합 (이중 속성 극대화),,,,,,,,
