ID,이름,등급,공격력,체력,쿨타임,액티브,패시브1 (B:강화1 / A:강화1 / S:최초 / SS:최초),패시브2 (A:강화2 / S:강화1 / SS:최초),패시브3 (S:강화2 / SS:강화1),패시브4 (SS:강화2),SS 제작 재료
5002,대나무 담비,SS,25%,25%,7,3턴간 매 스핀 후 체크된 심볼은 고정되고 나머지 심볼만 다시 스핀됨,홀드된 심볼이 다음 스핀에서도 체크되면 해당 체크 데미지 30% 증가,홀드 심볼 3개 이상이면 [액티브] 쿨타임 1 감소,홀드 시 고정된 심볼 중 1개에 x2룬 부여,5라운드 이후 홀드 시 체크되지 않은 심볼 1개도 추가 고정,블루혼(S++) + 마녀의 조형물(S++)
5003,아라크네,SS,25%,25%,7,2턴간 거미줄 심볼 2개가 그리드에 등장. 거미줄은 모든 속성에 매치되며 체크 시 해당 체크 데미지 2배,거미줄 체크 시 적에게 저체온 1스택 부여,거미줄 체크 시 [액티브] 쿨타임 1 감소(턴당 1회),5라운드 이후 거미줄 +1개 추가,거미줄 5회 이상 체크 시 다음 [액티브] 발동 시 거미줄 추가 1개,듄 그리폰(S++) + 눈릴라(S++)
5004,데저트 클로,SS,25%,25%,7,3턴간 추억장식이 50% 확률로 2회 발동,추억장식 2회 발동 시 [액티브] 쿨타임 1 감소(턴당 1회),[액티브] 발동 중 5콤보 달성 시 2회 발동 확률 +10%(해당 턴),5라운드 이후 [액티브] 지속턴 +1,한 턴에 추억장식 3회 이상 2회 발동 시 다음 턴 2회 발동 확정,꽃담비(S++) + 도살자(S++)
5005,깨달은 자,SS,25%,25%,7,두두 모든 상태이상 해제 + 최대체력 50% 즉시 회복 + 2턴간 모든 상태이상 면역,해제 시 두두에게 최대체력 10% 보호막 부여,두두 체력 40% 이하이면 [액티브] 쿨타임 2 감소,면역 중 적이 상태이상 시도 시 적에게 어지러움 1스택 반사,[액티브] 사용 시 두두에게 방패 2개 부여,마녀의 조형물(S++) + 눈릴라(S++)
5006,타락의 마녀,SS,25%,25%,7,3턴간 두두에게 저주의 눈 상태 부여. 적이 공격할 때마다 적에게 어지러움 2스택 + 두두 공격력 12% 증가(해당 턴),적의 공격이 빗나가면 추가로 저체온 1스택 부여,저주의 눈 중 피격 시 두두에게 최대체력 8% 보호막,어지러움 5스택 이상이면 [액티브] 쿨타임 2 감소,적 공격 빗나감 시 두두 공격력 추가 15%(해당 턴),도살자(S++) + 가시 망이(S++)
5007,신전 골렘,SS,25%,25%,6,적의 패시브 스킬 2개를 3턴간 봉인 + 적에게 저체온 2스택 부여,적이 빙결 상태이면 [액티브] 쿨타임 2 감소,[액티브] 사용 시 두두에게 방패 1개 부여,봉인 중인 적에게 추가 피해 15% 증가,봉인이 끝나는 턴에 자동으로 저체온 2스택 추가 부여,블루혼(S++) + 가시 망이(S++)
5008,바엘로네,SS,25%,25%,7,3턴간 반반심볼 3개 등장 + 반반심볼 체크 시 주 속성 데미지의 50%가 부 속성에도 추가 축적,반반심볼 체크 시 30% 확률로 [액티브] 쿨타임 1 감소,[액티브] 사용 시 나머지 2속성 확률 절반 감소,[액티브] 발동 중 반반심볼 5회 체크 시 두두 공격력 20%(해당 턴),반반심볼 체크마다 해당 2속성 등장 확률 3%씩 영구 증가(전투 종료 시 초기화),고대 거북(S++) + 듄 그리폰(S++)
,,,,,,,,,,,,
,,,,,,,,,,,,
SS 제작 조합표,,,,,,,,,,
SS 펫,재료1,재료2,조합 컨셉,,,,,,,,
리프 버드,꽃담비(S++),고대 거북(S++),부적+반반 → 연쇄 스핀 (슬롯 마스터),,,,,,,,
대나무 담비,블루혼(S++),마녀의 조형물(S++),조커+정화 → 심볼 홀드 (매칭 보존),,,,,,,,
아라크네,듄 그리폰(S++),눈릴라(S++),크리+방패 → 거미줄 특수심볼 (만능+2배),,,,,,,,
데저트 클로,꽃담비(S++),도살자(S++),부적+분노 → 추억장식 증폭 (곱배율 폭발),,,,,,,,
깨달은 자,마녀의 조형물(S++),눈릴라(S++),정화+방패 → 완전정화+면역 (극생존),,,,,,,,
타락의 마녀,도살자(S++),가시 망이(S++),분노+CC → 저주의 눈 (맞을수록 역전),,,,,,,,
신전 골렘,블루혼(S++),가시 망이(S++),조커빙결+CC → 패시브 봉인 (적 무력화),,,,,,,,
바엘로네,고대 거북(S++),듄 그리폰(S++),반반+크리 → 이중속성 극대화,,,,,,,,
,,,,,,,,,,,,
S 재료 사용 검증,,,,,,,,,,
S 펫,사용처1,사용처2,,,,,,,,,
꽃담비,리프 버드,데저트 클로,,,,,,,,,
블루혼,대나무 담비,신전 골렘,,,,,,,,,
듄 그리폰,아라크네,바엘로네,,,,,,,,,
가시 망이,타락의 마녀,신전 골렘,,,,,,,,,
마녀의 조형물,대나무 담비,깨달은 자,,,,,,,,,
눈릴라,아라크네,깨달은 자,,,,,,,,,
도살자,데저트 클로,타락의 마녀,,,,,,,,,
고대 거북,리프 버드,바엘로네,,,,,,,,,
